NberID|Text
w5907|Although there is a vast literature on capital structure, economists do not yet have a fully satisfactory theory of debt finance (or of the differences between debt and equity). One of the reasons for this Is that debt is a security with several characteristics: a debtor typically promises a creditor a noncontlngent payment stream; provides the creditor with the right to foreclose on the debtor's assets in a default state; and gives the creditor priority in bankruptcy. It is unclear whether all these characteristics are equally important, and whether they necessarily have to go together. In this paper we develop a model based on the second characteristic of debt --- the foreclosure right --- although our model implicitly has something to say about the other two characteristics as well. We consider an entrepreneur who needs funds from an investor (eg, a bank) to finance an investment project.
w2374|Recent literature in international trade has emphasized that trade barriers often result from political objectives. These include the desire of politicians to satisfy a majority of voters {Mayer, 1984), or respond to special interest lobbying groups.1 The empirical basis for these models is well established (see Baldwin, 1986). It is surprising, however, that this literature has focused on a small country setting trade barriers without any foreign repercussions. Thus, while the interests of domestic groups are of critical importance, those of foreigners have only recently been considered. For example, Das (1986), Husted (1986) and Hillman and Ursprung (1987) examine how foreign lobbying affects domestic trade policy. In this paper we shall consider a home government with political pressure to restrict trade, at the expense of foreigners. The foreign country is compensated with an income transfer, which can be thought of as a portion of the tariff revenues or quota rents. In this setting the two countries should negotiate over the level of tariff and transfer of rents, depending on the level of political pressure at home.
w15394|A classic question in macroeconomics is: what is the size of the governmentspending multiplier? There is a large empirical literature that grapples with this question. Authors such as Barro (1981) argue that the multiplier is around 0.8 while authors such as Ramey (2008) estimate the multiplier to be closer to 1.2.1 There is also a large literature that uses general-equilibrium models to study the size of the government-spending multiplier. In standard new-Keynesian models the government-spending multiplier can be somewhat above or below one depending on the exact specification of agent's preferences (see Gali, López-Salido, and Vallés (2007) and Monacelli and Perotti (2008)). In frictionless real-business-cycle models this multiplier is typically less than one (see eg Aiyagari, Christiano, and Eichenbaum (1992), Baxter and King (1993), Burnside, Eichenbaum and Fisher (2004), Ramey and Shapiro (1998), and Ramey (2008)). Viewed overall it is hard to argue, based on the literature, that the government-spending multiplier is substantially larger than one. In this paper we argue that the government-spending multiplier can be much larger than one when the nominal interest rate does not respond to an increase in government spending.
w7051|Economists usually evaluate policies with reference to individualistic notions of social welfare, under which assessment of policies depends exclusively upon their effects on individuals' utilities. In contrast, ordinary citizens and many government decisionmakers tend to believe that individuals' utilities are not the only relevant consideration in determining which policies society ought to adopt. They often regard other principles as important in their own right. Thus, individuals' rewards should be based on merit or desert, punishment should fit the crime, and so forth.1 In addition, economists (such as Musgrave and Sen) sometimes advance social welfare functions that depart from purely individualistic ones.2 In this note, we show that, for any non-individualistic social welfare function, there always exist circumstances in which the Pareto principle is violated.3 That is, any conceivable notion of social welfare that does not depend solely on individuals' utilities wiU sometimes require adoption of a policy that makes every person worse off. Thus, the tension between concern for individuals' well-being and conceptions of social welfare that give weight to factors apart from individuals' utilities is sharper than may have been apparent. 2. Analysis Let x denote a complete description of the world.
w14153|Whether competition in health insurance markets leads to effcient outcomes is a central question for health policy. Markets are effective when prices direct consumers and firms to behave effciently. But in health insurance markets, prices often do not reflect the different costs of coverage for different enrollees in different health plans. This lack of information in prices generates two concerns. If insurers receive premiums that do not reflect enrollee risk, they have an incentive to engage in risk selection through plan design (Rothschild and Stiglitz, 1976; Newhouse, 1996). Similarly, if consumers face prices that do not reflect cost differences across plans, they may select coverage ine.
w14035|The question of how households change their economic behavior when they receive a temporary income shock is of great importance for macroeconomic and fiscal policy, and for one of the most influential hypotheses in economics the permanent income hypothesis (PIH). A second influential hypothesis in the discipline has been the notion that households' consumption behavior is directly affected by their neighbors, via competitive or imitative processes; see for example Leibenstein (1950), Pollak (1976), Bagwell and Bernheim (1996), and Becker and Murphy (2001). Finally, a fundamental prediction of consumer theory is the notion that households who receive extramarginal in-kind transfers should, if possible, attempt to undo those transfers by converting them to cash (eg Moffitt 1984, 1989). To date, empirical testing of all the above hypotheses has yielded less-than-definitive results, due in part to the lack of credibly exogenous variation in either a household's own income, or in either the income or consumption of its neighbors. Recently, however, progress on testing the PIH has been made by using the random timing of income tax rebates (Agarwal, Liu and Souleles 2007). Regarding social effects, a number of recent studies have used plausibly exogenous variation to study social and neighborhood effects, such as Sacerdote's (2001) study of (randomly assigned) college room mates, and social experiments such as Moving to Opportunity which randomly assign households to neighborhoods (Katz et al. 2001, Kling et al. 2005, Ludwig et al. 2001). To our knowledge however, none of these newer studies of social effects focus specifically on household consumption. We are aware of no experimental tests of simple models of transfers in kind. In this paper we contribute to all the above research questions using data from the Dutch Postcode Lottery (PCL). Each week, this lottery allocates a prize to participants in a randomly chosen postcode (containing 19 households on average). About one third of the Dutch population participates in the lottery. A participant wins 12,500 per ticket. In addition, one of the participants wins a BMW. From an experimental design perspective, the lottery provides PCL participants in the winning code with an unexpected temporary income shock equal on average to about eight months of income, while leaving all other households' incomes unchanged.
w2756|Two major trends have dominated the post war history of trade policy in industrialized countries. One is the dramatic multilateral reduction in tariffs negotiated under the GATT. The other is the move toward "special" protection that has occurred as the industrialized countries of the world have become more integrated and as volatility in trade flows has become a more important source of domestic disruption. The rise in special forms of protection is epitomized by the growing use of Voluntary Export Restraints (VERs), Orderly Market Arrangements (OMAs), and tariffs that are tailor made to suit the needs of particular sectors. These policy tools are typically utilized by countries to limit the rate of expansion of imports or exports from that which would occur absent intervention. The term "managed trade" is often invoked to characterize the current international trading environment, since it consists of a relatively low "baseline" or "normal" level of protection combined with the use of special protection to dampen underlying changes in trade flows. The low baseline level of protection sustained by countries suggests that a standard non-cooperative Nash equilibrium view is inadequate to explain existing levels of protection. One alternative way to view the existing trading environment is that it is the result of explicit agreements among countries. This approach to explaining levels of protection has been taken by Mayer (1981) and Riezman (1982).
w0686|In their classic 1950 analysis of the international transmission of business cycles under flexible exchange rates,1 Svend Laursen and Lloyd A. Metzler hypothesized a relationship between aggregate spending and the terms of trade that has come to occupy an important place in open-economy macroeconomics. This Laursen-Metzler effect was central to the early post-war writing on the theory of devaluation---notably that of Harberger [1950] and Alexander [1952]---and has, more recently, emerged in discussion of the external adjustment problem accompanying shifts in the io?.ative pric2 of manufactured and primarry commodities. 2 It predicts that an adverse movement in the terms of trade between domestic and foreign goods will cause a rise in the home-goods value of expenditure, and, under conditions of complete specialization in production, a current-account deficit. Laursen and Metzler based their hypothesis largely on statistical evidence that seemed to confirm Keynes' "fundamental psychological law" positing a stable relationship between current real income and consump-3 tion. According to this law, individuals adjust only gradually to a decline in real income, reducing saving as well as spending in an attempt to smooth their consumption stream.
w3188|The wage rate is often seen as one of the most important prices in the economy. It shapes the distribution of income, the levels of employment and unemployment, and the participation and effort decisions of individual workers. Despite its apparent significance, however, the wage determination process remains complex and controversial. Some ideas, such as the Phillips curve, have received extraordinary scrutiny. Other issues, such as wage rigidity theorems, hysteresis and the bargaining framework which determines wageffemployment outcomes, have received little empirical attention. This paper has two principal novel aspects. It studies the effects on real wages of (i) the level of unemployment and (ii) industry product prices. The conceptual framework underlying this approach is a bargaining analysis in which rents are divided between the firm and the trade union.
w6741|It has become commonplace to observe that a large fraction of world trade takes place between countries with similar aggregate factor endowments and similar technological capabilities. Moreover, much of this trade involves goods with similar factor intensities. Explanations for these observations abound. Increasing returns to scale can account for trade in goods that are technologically alike but differentiated in the eyes of consumers (eg, Krugman, 1979). Oligopolistic competition can account for two-way trade in identical products under certain assumptions about oligopolistic conduct (eg, Brander, 1991). Small technological differences across countries can account for high volumes of trade in goods with similar factor intensities when factor endowment ratios are similar and there are more goods than factors (Davis, 1995). But all of these explanations share the implication that the pattern of trade is essentially arbitrary.
